2018-07-31 00:29:43 status unpacked base-passwd:arm64 3.5.39
2018-07-31 00:29:43 status unpacked base-passwd:arm64 3.5.39
2018-07-31 00:29:43 install bash:arm64 <none> 4.3-14ubuntu1
2018-07-31 00:29:43 status half-installed bash:arm64 4.3-14ubuntu1
2018-07-31 00:29:43 status unpacked bash:arm64 4.3-14ubuntu1
2018-07-31 00:29:43 status unpacked bash:arm64 4.3-14ubuntu1
2018-07-31 00:29:44 install bsdutils:arm64 <none> 1:2.27.1-6ubuntu3
2018-07-31 00:29:44 status half-installed bsdutils:arm64 1:2.27.1-6ubuntu3
2018-07-31 00:29:44 status unpacked bsdutils:arm64 1:2.27.1-6ubuntu3
2018-07-31 00:29:44 status unpacked bsdutils:arm64 1:2.27.1-6ubuntu3
2018-07-31 00:29:44 install coreutils:arm64 <none> 8.25-2ubuntu2
2018-07-31 00:29:44 status half-installed coreutils:arm64 8.25-2ubuntu2
2018-07-31 00:29:44 status unpacked coreutils:arm64 8.25-2ubuntu2
2018-07-31 00:29:44 status unpacked coreutils:arm64 8.25-2ubuntu2
2018-07-31 00:29:45 install dash:arm64 <none> 0.5.8-2.1ubuntu2
2018-07-31 00:29:45 status half-installed dash:arm64 0.5.8-2.1ubuntu2
2018-07-31 00:29:45 status unpacked dash:arm64 0.5.8-2.1ubuntu2
2018-07-31 00:29:45 status unpacked dash:arm64 0.5.8-2.1ubuntu2
2018-07-31 00:29:45 install debconf:all <none> 1.5.58ubuntu1
2018-07-31 00:29:45 status half-installed debconf:all 1.5.58ubuntu1
2018-07-31 00:29:45 status unpacked debconf:all 1.5.58ubuntu1
2018-07-31 00:29:45 status unpacked debconf:all 1.5.58ubuntu1
2018-07-31 00:29:45 install debianutils:arm64 <none> 4.7
2018-07-31 00:29:45 status half-installed debianutils:arm64 4.7
2018-07-31 00:29:45 status unpacked debianutils:arm64 4.7
2018-07-31 00:29:45 status unpacked debianutils:arm64 4.7
2018-07-31 00:29:45 install diffutils:arm64 <none> 1:3.3-3
2018-07-31 00:29:45 status half-installed diffutils:arm64 1:3.3-3
2018-07-31 00:29:45 status unpacked diffutils:arm64 1:3.3-3
2018-07-31 00:29:45 status unpacked diffutils:arm64 1:3.3-3
2018-07-31 00:29:45 upgrade dpkg:arm64 1.18.4ubuntu1 1.18.4ubuntu1
2018-07-31 00:29:45 status half-configured dpkg:arm64 1.18.4ubuntu1
2018-07-31 00:29:45 status unpacked dpkg:arm64 1.18.4ubuntu1
2018-07-31 00:29:45 status half-installed dpkg:arm64 1.18.4ubuntu1
2018-07-31 00:29:46 status half-installed dpkg:arm64 1.18.4ubuntu1
2018-07-31 00:29:46 status unpacked dpkg:arm64 1.18.4ubuntu1
2018-07-31 00:29:46 status unpacked dpkg:arm64 1.18.4ubuntu1
